dataset,regime,method,metric,mean,sd,n,seeds
mnist,alpha0p5,confidence_logit,student_test_accuracy,96.43,1.1066616465749601,3,"42,43,44"
mnist,alpha0p5,confidence_logit,student_test_nll,0.11106747167706486,0.03208573471457223,3,"42,43,44"
mnist,alpha0p5,consensus_logit,student_test_accuracy,97.75,0.3604164258188013,3,"42,43,44"
mnist,alpha0p5,consensus_logit,student_test_nll,0.07340941896294241,0.013139108762895415,3,"42,43,44"
mnist,alpha0p5,energy_logit,student_test_accuracy,97.69666666666666,0.36828431046316873,3,"42,43,44"
mnist,alpha0p5,energy_logit,student_test_nll,0.11093118221419379,0.03561674109260191,3,"42,43,44"
mnist,alpha0p5,expert_logit,student_test_accuracy,97.96666666666667,0.2267891825756584,3,"42,43,44"
mnist,alpha0p5,expert_logit,student_test_nll,0.06869360427797067,0.013125409093728278,3,"42,43,44"
mnist,alpha0p1,confidence_logit,student_test_accuracy,72.44999999999999,15.117086359480785,3,"42,43,44"
mnist,alpha0p1,confidence_logit,student_test_nll,1.000992037010193,0.6268041029638144,3,"42,43,44"
mnist,alpha0p1,consensus_logit,student_test_accuracy,85.42333333333333,9.750099144795056,3,"42,43,44"
mnist,alpha0p1,consensus_logit,student_test_nll,1.7319182444389327,1.4877843387909233,3,"42,43,44"
mnist,alpha0p1,energy_logit,student_test_accuracy,55.14333333333333,33.52825723674485,3,"42,43,44"
mnist,alpha0p1,energy_logit,student_test_nll,12.741061157735189,11.493164382726968,3,"42,43,44"
mnist,alpha0p1,expert_logit,student_test_accuracy,98.72666666666666,0.07234178138070077,3,"42,43,44"
mnist,alpha0p1,expert_logit,student_test_nll,0.05142766407970913,0.00623443971935127,3,"42,43,44"
mnist,multi,confidence_logit,student_test_accuracy,40.8,3.3821738571516393,3,"42,43,44"
mnist,multi,confidence_logit,student_test_nll,3.499688734690348,0.22804310747774933,3,"42,43,44"
mnist,multi,consensus_logit,student_test_accuracy,61.70333333333334,4.457514254978141,3,"42,43,44"
mnist,multi,consensus_logit,student_test_nll,22.076371529134118,3.7265155511251864,3,"42,43,44"
mnist,multi,energy_logit,student_test_accuracy,41.653333333333336,5.68635501295279,3,"42,43,44"
mnist,multi,energy_logit,student_test_nll,48.96604346110026,11.399073795150803,3,"42,43,44"
mnist,multi,expert_logit,student_test_accuracy,98.79333333333334,0.11590225767142298,3,"42,43,44"
mnist,multi,expert_logit,student_test_nll,0.12209347952847573,0.0190300871315016,3,"42,43,44"
mnist,single,confidence_logit,student_test_accuracy,10.216666666666667,0.10969655114602885,3,"42,43,44"
mnist,single,confidence_logit,student_test_nll,6.214551177215576,2.4206309809652056,3,"42,43,44"
mnist,single,consensus_logit,student_test_accuracy,9.800000000000002,1.6996749443881478e-15,3,"42,43,44"
mnist,single,consensus_logit,student_test_nll,138.25087067871095,14.342977023591668,3,"42,43,44"
mnist,single,energy_logit,student_test_accuracy,10.103333333333335,4.756704040965061,3,"42,43,44"
mnist,single,energy_logit,student_test_nll,191.3719249186198,110.11904163115754,3,"42,43,44"
mnist,single,expert_logit,student_test_accuracy,98.70333333333333,0.1422439219556762,3,"42,43,44"
mnist,single,expert_logit,student_test_nll,0.30366416846538197,0.03408168217427897,3,"42,43,44"
fmnist,iid,confidence_logit,student_test_accuracy,88.77000000000001,0.19519221295942663,3,"42,43,44"
fmnist,iid,confidence_logit,student_test_nll,0.35032658737103145,0.01625763600889152,3,"42,43,44"
fmnist,iid,consensus_logit,student_test_accuracy,88.88333333333334,0.32347076117221674,3,"42,43,44"
fmnist,iid,consensus_logit,student_test_nll,0.3504543410460154,0.015117505203899368,3,"42,43,44"
fmnist,iid,energy_logit,student_test_accuracy,88.67333333333333,0.338279962949821,3,"42,43,44"
fmnist,iid,energy_logit,student_test_nll,0.4734051285972198,0.048765612229822494,3,"42,43,44"
