run_id,dataset,regime,seed,method,valid,reason
ef261a8a6b01fcd9,fmnist,iid,44,expert_logit,True,
e1ac67186c293ec6,fmnist,multi,42,feddf_prob,True,
1ae17f261134557f,fmnist,multi,42,expert_prob,True,
b5e386de593a3387,fmnist,multi,42,expert_prob_sr,True,
8635fbed6b20214f,fmnist,multi,42,oracle_prob,True,
c518d5d5d782684b,fmnist,multi,42,feddf_logit,True,
ef23bcac577da509,fmnist,multi,42,oracle_logit,True,
6e4cf9e2da9a1a3b,fmnist,multi,42,confidence_logit,True,
58f434d7894607a6,fmnist,multi,42,consensus_logit,True,
dc5084192a9e6ae3,fmnist,multi,42,energy_logit,True,
3b53c9c6b8894bd7,fmnist,multi,42,expert_logit,True,
c72caa26e20d2ceb,fmnist,multi,43,feddf_prob,True,
938891f0341da58b,fmnist,multi,43,expert_prob,True,
bcc8c81d85f2294b,fmnist,multi,43,expert_prob_sr,True,
6501ab93d87857b0,fmnist,multi,43,oracle_prob,True,
8cdc7a5ce2c46b0c,fmnist,multi,43,feddf_logit,True,
551289fd4ceb7269,fmnist,multi,43,oracle_logit,True,
168a82295893ed4c,fmnist,multi,43,confidence_logit,True,
e7ae91326bd70e56,fmnist,multi,43,consensus_logit,True,
f15ec469cc571c63,fmnist,multi,43,energy_logit,True,
999235d2e3bd1c38,fmnist,multi,43,expert_logit,True,
ec0dd92c67c94986,fmnist,multi,44,feddf_prob,True,
393db1feef47cf9d,fmnist,multi,44,expert_prob,True,
54850265efe0762c,fmnist,multi,44,expert_prob_sr,True,
fa116c17331b2e03,fmnist,multi,44,oracle_prob,True,
8b5619e1467492ea,fmnist,multi,44,feddf_logit,True,
eeb7d4198c4a1924,fmnist,multi,44,oracle_logit,True,
b3eb8fd52667825d,fmnist,multi,44,confidence_logit,True,
2896b11b662c99b4,fmnist,multi,44,consensus_logit,True,
def8c9282be8be99,fmnist,multi,44,energy_logit,True,
71a2217a99f9324d,fmnist,multi,44,expert_logit,True,
44824a144c9525c5,fmnist,single,42,feddf_prob,True,
d167fc214edc5c68,fmnist,single,42,expert_prob,True,
08eabbd992538a57,fmnist,single,42,expert_prob_sr,True,
1bf1869b242b152c,fmnist,single,42,oracle_prob,True,
bf43a7bbd0410f90,fmnist,single,42,feddf_logit,True,
917488946fe48e61,fmnist,single,42,oracle_logit,True,
5829e244613cfec4,fmnist,single,42,confidence_logit,True,
5540e70f316b3157,fmnist,single,42,consensus_logit,True,
ec59f8482e80c410,fmnist,single,42,energy_logit,True,
99b441333e5bf3f5,fmnist,single,42,expert_logit,True,
b3da8b08e20abcef,fmnist,single,43,feddf_prob,True,
e73aba17d579b084,fmnist,single,43,expert_prob,True,
0d2bda7ebfd8f566,fmnist,single,43,expert_prob_sr,True,
1ba7b32f81110e9f,fmnist,single,43,oracle_prob,True,
c48ba5ab037c39aa,fmnist,single,43,feddf_logit,True,
09c178bb4ee615c5,fmnist,single,43,oracle_logit,True,
2f646cba63ac46ef,fmnist,single,43,confidence_logit,True,
fec5a40f26eec1d0,fmnist,single,43,consensus_logit,True,
ae7dc6816b60195d,fmnist,single,43,energy_logit,True,
09d275ff7b023dc9,fmnist,single,43,expert_logit,True,
cd05b1f48ae157c4,fmnist,single,44,feddf_prob,True,
ab8e9ca45adc2256,fmnist,single,44,expert_prob,True,
45d2e0d5b1a6931a,fmnist,single,44,expert_prob_sr,True,
40700dc4636bdaee,fmnist,single,44,oracle_prob,True,
084dd4c334767c68,fmnist,single,44,feddf_logit,True,
631932254a7a791e,fmnist,single,44,oracle_logit,True,
630e5c4fc6ca6778,fmnist,single,44,confidence_logit,True,
bdb763a84624b91b,fmnist,single,44,consensus_logit,True,
3a3a90c833fd947e,fmnist,single,44,energy_logit,True,
79edd7ca6a5e54df,fmnist,single,44,expert_logit,True,
fd302b0cd1665f65,mnist,alpha0p1,42,feddf_prob,True,
d9427415fddfb7dc,mnist,alpha0p1,42,expert_prob,True,
690075f851ef6b5b,mnist,alpha0p1,42,expert_prob_sr,True,
a70c36e629578fc0,mnist,alpha0p1,42,oracle_prob,True,
4211ab3ca951358a,mnist,alpha0p1,42,feddf_logit,True,
0425fb4bce2e031b,mnist,alpha0p1,42,oracle_logit,True,
53c0ccc232a56e7f,mnist,alpha0p1,42,confidence_logit,True,
6f4162cbf1b1bd10,mnist,alpha0p1,42,consensus_logit,True,
1081b63773e37f4b,mnist,alpha0p1,42,energy_logit,True,
b35c3f55c399a313,mnist,alpha0p1,42,expert_logit,True,
d8c95f97b83b20e2,mnist,alpha0p1,43,feddf_prob,True,
d78a0dac27b97e4e,mnist,alpha0p1,43,expert_prob,True,
25d33445f9cc1ca3,mnist,alpha0p1,43,expert_prob_sr,True,
6910d42687b1691c,mnist,alpha0p1,43,oracle_prob,True,
ceb53a4be583636f,mnist,alpha0p1,43,feddf_logit,True,
3d89c1aafe58ac69,mnist,alpha0p1,43,oracle_logit,True,
aa384a10c896f140,mnist,alpha0p1,43,confidence_logit,True,
075064b562201129,mnist,alpha0p1,43,consensus_logit,True,
e69d6e258cdddf29,mnist,alpha0p1,43,energy_logit,True,
